Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-02-16 22:00:00,10090.21,10155.98,10042.11,10155.41,115.62,1169309.49,10113.61
2018-02-16 22:30:00,10155.97,10235.52,10138.08,10227,558.82,5700210.46,10200.42
2018-02-16 23:00:00,10208.83,10235,10168,10198.01,128.45,1310496.43,10202.3
2018-02-16 23:30:00,10209.89,10248.14,10163.88,10196,159.18,1627107.22,10221.89
2018-02-17 00:00:00,10203.14,10203.14,10053.5,10089.66,99.64,1006255.6,10098.41
2018-02-17 00:30:00,10088.15,10224.01,10088.15,10204.85,52.13,529620.5,10159.02
2018-02-17 01:00:00,10198.93,10249.9,10192.43,10229.95,124.31,1271007.51,10224.43
2018-02-17 01:30:00,10224.58,10363.8,10211.3,10363.8,712.11,7345059.96,10314.45
2018-02-17 02:00:00,10363.8,10453.3,10360.12,10453.3,443.81,4621594.04,10413.37
2018-02-17 02:30:00,10453.3,10488,10372.68,10382.55,303.05,3165400.72,10445.02
2018-02-17 03:00:00,10375.33,10467.66,10375.33,10417.79,66.89,697566.68,10428.58
2018-02-17 03:30:00,10432.78,10500,10410,10475.1,162.8,1706404.62,10481.56
2018-02-17 04:00:00,10475.1,10604.74,10475.1,10596.53,500.15,5277484.23,10551.8
2018-02-17 04:30:00,10594.79,10600.05,10515.6,10586.3,154.34,1630286.76,10562.86
2018-02-17 05:00:00,10584.93,10595.83,10488.38,10501.94,125.24,1318616.95,10528.76
2018-02-17 05:30:00,10500,10580.05,10473.35,10546.65,195.75,2062002.09,10533.9
2018-02-17 06:00:00,10540.64,10680,10540.64,10679.99,367.29,3899460.71,10616.84
2018-02-17 06:30:00,10679,10780.14,10677.8,10775.95,534.69,5730405.6,10717.29
2018-02-17 07:00:00,10770.01,10775.04,10632.38,10691.15,254.78,2722958.4,10687.58
2018-02-17 07:30:00,10691.15,10753.85,10668.28,10734.88,177.8,1905955.85,10719.44
2018-02-17 08:00:00,10726.68,10798.08,10703.84,10790.49,202.33,2178711.26,10768.23
2018-02-17 08:30:00,10790.55,10867,10780,10830,316.84,3432521.8,10833.68
2018-02-17 09:00:00,10830,10855,10780.02,10842.82,207.66,2248509.52,10827.64
2018-02-17 09:30:00,10842.82,10847.24,10646.44,10683.4,425.04,4573264.02,10759.61
2018-02-17 10:00:00,10698.99,10775.39,10619.89,10713.2,429.07,4576806.44,10666.75
2018-02-17 10:30:00,10730,10768.13,10655,10674,262.86,2819289.44,10725.37
2018-02-17 11:00:00,10673.9,10725,10655,10723.97,189.27,2024022.11,10693.82
2018-02-17 11:30:00,10723.18,10785.01,10711.95,10735.51,182.1,1959630.85,10761.17
2018-02-17 12:00:00,10735.51,10851.76,10729.89,10780.68,288.25,3113856.93,10802.49
2018-02-17 12:30:00,10780.68,10870.35,10767,10822.06,384.82,4171451.21,10840
2018-02-17 13:00:00,10808.85,10840,10615.05,10720.23,721.07,7731539.82,10722.36
2018-02-17 13:30:00,10720.33,10766.04,10690.04,10700,163.29,1752530.88,10732.92
2018-02-17 14:00:00,10698.6,10715.31,10483,10483,666.5,7048533.66,10575.47
2018-02-17 14:30:00,10481.14,10665.47,10460.69,10654.37,559.01,5906228.91,10565.52
2018-02-17 15:00:00,10654.37,10739.92,10648.7,10687,219,2344005.97,10703.29
2018-02-17 15:30:00,10687,10760,10656.69,10748.58,338.92,3629897.99,10710.09
2018-02-17 16:00:00,10748.36,10790.82,10702.41,10790.82,103.84,1116946.03,10756.08
2018-02-17 16:30:00,10792.64,10850,10771.68,10816.99,212.46,2297804.92,10815.48
2018-02-17 17:00:00,10814.04,10842.33,10752.15,10821.28,159.68,1725946.33,10808.58
2018-02-17 17:30:00,10821.28,10870.06,10777.73,10807.17,297.22,3216630.73,10822.49
2018-02-17 18:00:00,10807.17,10816.97,10679.89,10749.9,238.44,2562177.11,10745.71
2018-02-17 18:30:00,10754.49,10823.63,10750.02,10796.14,123.07,1328459.02,10793.96
2018-02-17 19:00:00,10791.15,10815.05,10750,10764.37,222.95,2401591.32,10771.73
2018-02-17 19:30:00,10752.46,10778.66,10662.2,10719.18,256.45,2747809.01,10714.79
2018-02-17 20:00:00,10714.51,10759.23,10646.44,10684,173.35,1852948.67,10688.89
2018-02-17 20:30:00,10684,10808.07,10684,10784.94,250.65,2701794.28,10779.26
2018-02-17 21:00:00,10781.52,10840,10770.01,10810.06,94.25,1019412.89,10815.52
2018-02-17 21:30:00,10800.66,10874.99,10800.66,10863.01,248.96,2701911.51,10852.72
